City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,al jawf,29.5,38.75,9.22,57,0,3.99,SA,1707364553
323,quepos,9.4236,-84.1652,25.03,72,69,2.81,CR,1707364553
324,arkhara,49.4212,130.0842,-12.7,88,91,2.85,RU,1707364553
325,touba,8.2833,-7.6833,22.57,22,0,1.09,CI,1707364553
326,colonia,50.9333,6.95,4.97,91,75,1.03,DE,1707364553
327,fort mcmurray,56.7268,-111.381,-7.23,86,100,0.51,CA,1707364554
328,kargasok,59.0556,80.8572,-6.69,97,100,3.13,RU,1707364554
329,metlili chaamba,32.2667,3.6333,10.52,37,0,1.54,DZ,1707364554
330,nogliki,51.8333,143.1667,-15.92,85,82,2.24,RU,1707364554
331,rongelap,11.1635,166.8941,26.38,76,100,8.85,MH,1707364554
332,dolbeau-mistassini,48.8763,-72.212,-5.74,98,93,1.2,CA,1707364554
333,phongsali,21.6833,102.1058,22.82,30,0,1.16,LA,1707364555
334,new plymouth,-39.0667,174.0833,24.34,84,94,6.46,NZ,1707364207
335,the pas,53.8251,-101.2541,-9.99,92,100,2.57,CA,1707364555
336,presidente epitacio,-21.7633,-52.1156,23.73,77,100,0.54,BR,1707364555
337,puerto baquerizo moreno,-0.9,-89.6,25.73,82,75,4.81,EC,1707364555
338,galliano,29.4422,-90.2992,16.11,79,94,5.05,US,1707364555
339,bouna,9.2667,-3.0,22.06,18,2,3.05,CI,1707364555
340,becancour,46.3334,-72.4324,-2.99,85,100,1.03,CA,1707364555
341,morozovsk,48.3539,41.8261,4.26,87,97,8.31,RU,1707364555
342,portland,45.5234,-122.6762,7.56,87,75,2.06,US,1707364254
343,okhotsk,59.3833,143.3,-18.96,79,88,4.32,RU,1707364556
344,tougue,11.4667,-11.6,21.69,17,98,0.85,GN,1707364556
345,chinde,26.8418,88.0763,9.17,50,0,2.88,NP,1707364556
346,flying fish cove,-10.4217,105.6791,28.82,78,75,3.6,CX,1707364543
347,tual,-5.6667,132.75,27.25,82,100,8.96,ID,1707364557
348,saipan,15.1355,145.701,29.39,54,0,7.2,MP,1707364504
349,dakhla,23.6848,-15.958,20.12,38,0,3.66,EH,1707364557
350,ceerigaabo,10.6162,47.368,14.72,65,56,0.76,SO,1707364557
351,nadi,-17.8,177.4167,28.0,78,75,2.06,FJ,1707364549
352,amga,60.8953,131.9608,-28.72,93,100,1.36,RU,1707364541
353,nuku'alofa,-21.1333,-175.2,31.19,74,20,5.14,TO,1707364557
354,dogubayazit,39.5469,44.0842,-5.18,85,42,2.33,TR,1707364557
355,north bend,43.4065,-124.2243,7.18,100,75,0.0,US,1707364557
356,itoman,26.1247,127.6694,18.43,85,75,7.2,JP,1707364557
